# x_position concentration_percent
0.520177 -99.085607
0.521008 -99.077169
0.521839 -99.061708
0.522671 -99.038929
0.523502 -99.008550
0.524334 -98.970308
0.525165 -98.923954
0.525997 -98.869258
0.526828 -98.806011
0.527659 -98.734021
0.528491 -98.653122
0.529322 -98.563171
0.530154 -98.464049
0.530985 -98.355669
0.531816 -98.237969
0.532648 -98.110923
0.533479 -97.974536
0.534311 -97.828848
0.535142 -97.673938
0.535973 -97.509923
0.536805 -97.336956
0.537636 -97.155234
0.538468 -96.964993
0.539299 -96.766510
0.540130 -96.560101
0.540962 -96.346123
0.541793 -96.124971
0.542625 -95.897074
0.543456 -95.662896
0.544288 -95.422930
0.545119 -95.177699
0.545950 -94.927745
0.546782 -94.673630
0.547613 -94.415927
0.548445 -94.155219
0.549276 -93.892086
0.550107 -93.627106
0.550939 -93.360843
0.551770 -93.093841
0.552602 -92.826618
0.553433 -92.559656
0.554264 -92.293399
0.555096 -92.028237
0.555927 -91.764506
0.556759 -91.502478
0.557590 -91.242354
0.558421 -90.984257
0.559253 -90.728227
0.560084 -90.474216
0.560916 -90.222082
0.561747 -89.971582
0.562578 -89.722376
0.563410 -89.474016
0.564241 -89.225948
0.565073 -88.977512
0.565904 -88.727941
0.566736 -88.476359
0.567567 -88.221788
0.568398 -87.963146
0.569230 -87.699253
0.570061 -87.428837
0.570893 -87.150534
0.571724 -86.862903
0.572555 -86.564422
0.573387 -86.253505
0.574218 -85.928505
0.575050 -85.587724
0.575881 -85.229422
0.576712 -84.851824
0.577544 -84.453135
0.578375 -84.031542
0.579207 -83.585227
0.580038 -83.112377
0.580869 -82.611191
0.581701 -82.079887
0.582532 -81.516715
0.583364 -80.919959
0.584195 -80.287947
0.585027 -79.619055
0.585858 -78.911717
0.586689 -78.164425
0.587521 -77.375739
0.588352 -76.544286
0.589184 -75.668767
0.590015 -74.747960
0.590846 -73.780721
0.591678 -72.765990
0.592509 -71.702788
0.593341 -70.590228
0.594172 -69.427507
0.595003 -68.213916
0.595835 -66.948841
0.596666 -65.631763
0.597498 -64.262266
0.598329 -62.840034
0.599160 -61.364859
0.599992 -59.836644
0.600823 -58.255407
0.601655 -56.621285
0.602486 -54.934537
0.603318 -53.195550
0.604149 -51.404845
0.604980 -49.563076
0.605812 -47.671038
0.606643 -45.729671
0.607475 -43.740057
0.608306 -41.703427
0.609137 -39.621159
0.609969 -37.494779
0.610800 -35.325958
0.611632 -33.116508
0.612463 -30.868380
0.613294 -28.583653
0.614126 -26.264531
0.614957 -23.913328
0.615789 -21.532457
0.616620 -19.124420
0.617451 -16.691786
0.618283 -14.237181
0.619114 -11.763264
0.619946 -9.272709
0.620777 -6.768184
0.621608 -4.252330
0.622440 -1.727734
0.623271 0.803086
0.624103 3.337710
0.624934 5.873838
0.625766 8.409309
0.626597 10.942121
0.627428 13.470454
0.628260 15.992685
0.629091 18.507403
0.629923 21.013422
0.630754 23.509791
0.631585 25.995801
0.632417 28.470990
0.633248 30.935141
0.634080 33.388283
0.634911 35.830681
0.635742 38.262827
0.636574 40.685430
0.637405 43.099396
0.638237 45.505811
0.639068 47.905917
0.639899 50.301091
0.640731 52.692815
0.641562 55.082652
0.642394 57.472212
0.643225 59.863129
0.644057 62.257027
0.644888 64.655491
0.645719 67.060041
0.646551 69.472106
0.647382 71.892996
0.648214 74.323884
0.649045 76.765785
0.649876 79.219540
0.650708 81.685803
0.651539 84.165036
0.652371 86.657498
0.653202 89.163250
0.654033 91.682154
0.654865 94.213879
0.655696 96.757914
0.656528 99.313576
0.657359 101.880031
0.658190 104.456305
0.659022 107.041309
0.659853 109.633857
0.660685 112.232684
0.661516 114.836475
0.662348 117.443875
0.663179 120.053517
0.664010 122.664034
0.664842 125.274078
0.665673 127.882328
0.666505 130.487505
0.667336 133.088376
0.668167 135.683757
0.668999 138.272514
0.669830 140.853559
0.670662 143.425845
0.671493 145.988352
0.672324 148.540080
0.673156 151.080033
0.673987 153.607200
0.674819 156.120539
0.675650 158.618961
0.676481 161.101306
0.677313 163.566331
0.678144 166.012685
0.678976 168.438901
0.679807 170.843376
0.680638 173.224363
0.681470 175.579959
0.682301 177.908102
0.683133 180.206565
0.683964 182.472959
0.684796 184.704737
0.685627 186.899197
0.686458 189.053496
0.687290 191.164664
0.688121 193.229612
0.688953 195.245157
0.689784 197.208038
0.690615 199.114934
0.691447 200.962489
0.692278 202.747329
0.693110 204.466087
0.693941 206.115420
0.694772 207.692028
0.695604 209.192675
0.696435 210.614201
0.697267 211.953540
0.698098 213.207728
0.698929 214.373918
0.699761 215.449382
0.700592 216.431524
0.701424 217.317878
0.702255 218.106116
0.703087 218.794046
0.703918 219.379614
0.704749 219.860906
0.705581 220.236144
0.706412 220.503691
0.707244 220.662048
0.708075 220.709860
0.708906 220.645915
0.709738 220.469150
0.710569 220.178659
0.711401 219.773699
0.712232 219.253699
0.713063 218.618274
0.713895 217.867233
0.714726 217.000598
0.715558 216.018617
0.716389 214.921777
0.717220 213.710821
0.718052 212.386766
0.718883 210.950909
0.719715 209.404850
0.720546 207.750492
0.721378 205.990056
0.722209 204.126082
0.723040 202.161433
0.723872 200.099290
0.724703 197.943145
0.725535 195.696794
0.726366 193.364314
0.727197 190.950052
0.728029 188.458594
0.728860 185.894739
0.729692 183.263469
0.730523 180.569910
0.731354 177.819296
0.732186 175.016931
0.733017 172.168144
0.733849 169.278247
